goos: linux
goarch: amd64
pkg: github.com/charlievieth/strcase/internal/benchtest
cpu: Intel(R) Core(TM) i9-9900K CPU @ 3.60GHz
                                │ ./stdlib.10.1706899847.07e88bec.txt │  ./strcase.10.1706899847.07e88bec.txt   │
                                │               sec/op                │    sec/op      vs base                  │
IndexAnyUTF8/16:4-8                                       62.91n ± 0%     35.03n ± 0%    -44.31% (p=0.000 n=10)
IndexAnyUTF8/16:8-8                                       62.98n ± 0%     92.84n ± 0%    +47.40% (p=0.000 n=10)
IndexAnyUTF8/16:16-8                                      66.30n ± 0%     93.84n ± 0%    +41.56% (p=0.000 n=10)
IndexAnyUTF8/16:32-8                                      72.64n ± 0%    101.30n ± 1%    +39.45% (p=0.000 n=10)
IndexAnyUTF8/16:64-8                                      79.53n ± 1%    108.55n ± 0%    +36.50% (p=0.000 n=10)
IndexAnyUTF8/256:1-8                                      169.0n ± 0%     167.8n ± 0%     -0.65% (p=0.000 n=10)
IndexAnyUTF8/256:2-8                                      872.2n ± 1%     349.5n ± 0%    -59.93% (p=0.000 n=10)
IndexAnyUTF8/256:4-8                                      871.9n ± 1%     193.5n ± 0%    -77.81% (p=0.000 n=10)
IndexAnyUTF8/256:8-8                                      873.8n ± 0%     387.4n ± 1%    -55.66% (p=0.000 n=10)
IndexAnyUTF8/256:16-8                                     928.2n ± 0%     123.0n ± 0%    -86.75% (p=0.000 n=10)
IndexAnyUTF8/256:32-8                                    1031.0n ± 0%     641.8n ± 1%    -37.75% (p=0.000 n=10)
IndexAnyUTF8/256:64-8                                    1138.5n ± 0%     752.2n ± 0%    -33.93% (p=0.000 n=10)
LastIndexAnyASCII/1:1-8                                   5.012n ± 0%     6.013n ± 0%    +19.96% (p=0.000 n=10)
LastIndexAnyASCII/1:2-8                                   5.008n ± 0%     6.011n ± 1%    +20.03% (p=0.000 n=10)
LastIndexAnyASCII/1:4-8                                   5.004n ± 0%     6.013n ± 0%    +20.16% (p=0.000 n=10)
LastIndexAnyASCII/1:8-8                                   4.998n ± 0%     6.013n ± 0%    +20.31% (p=0.000 n=10)
LastIndexAnyASCII/1:16-8                                  4.731n ± 0%     6.245n ± 0%    +31.98% (p=0.000 n=10)
LastIndexAnyASCII/1:32-8                                  5.057n ± 0%     6.763n ± 1%    +33.75% (p=0.000 n=10)
LastIndexAnyASCII/1:64-8                                  5.365n ± 1%     7.246n ± 0%    +35.06% (p=0.000 n=10)
LastIndexAnyASCII/16:1-8                                  13.66n ± 0%     16.40n ± 0%    +20.10% (p=0.000 n=10)
LastIndexAnyASCII/16:2-8                                  14.08n ± 0%     16.57n ± 0%    +17.69% (p=0.000 n=10)
LastIndexAnyASCII/16:4-8                                  15.39n ± 0%     17.72n ± 0%    +15.14% (p=0.000 n=10)
LastIndexAnyASCII/16:8-8                                  19.48n ± 1%     21.05n ± 0%     +8.06% (p=0.000 n=10)
LastIndexAnyASCII/16:16-8                                 25.64n ± 0%     31.06n ± 2%    +21.16% (p=0.000 n=10)
LastIndexAnyASCII/16:32-8                                 43.55n ± 0%     54.30n ± 0%    +24.69% (p=0.000 n=10)
LastIndexAnyASCII/16:64-8                                 70.22n ± 0%     91.92n ± 1%    +30.91% (p=0.000 n=10)
LastIndexAnyASCII/256:1-8                                 129.3n ± 0%     130.6n ± 0%     +1.01% (p=0.000 n=10)
LastIndexAnyASCII/256:2-8                                 129.8n ± 1%     131.5n ± 1%     +1.27% (p=0.001 n=10)
LastIndexAnyASCII/256:4-8                                 132.1n ± 0%     133.7n ± 0%     +1.25% (p=0.000 n=10)
LastIndexAnyASCII/256:8-8                                 136.2n ± 1%     138.0n ± 0%     +1.28% (p=0.000 n=10)
LastIndexAnyASCII/256:16-8                                141.1n ± 0%     148.2n ± 0%     +5.00% (p=0.000 n=10)
LastIndexAnyASCII/256:32-8                                158.5n ± 0%     175.8n ± 1%    +10.91% (p=0.000 n=10)
LastIndexAnyASCII/256:64-8                                185.7n ± 1%     213.9n ± 0%    +15.19% (p=0.000 n=10)
LastIndexAnyUTF8/1:1-8                                    4.603n ± 0%     5.961n ± 1%    +29.51% (p=0.000 n=10)
LastIndexAnyUTF8/1:2-8                                    4.602n ± 0%     5.956n ± 1%    +29.42% (p=0.000 n=10)
LastIndexAnyUTF8/1:4-8                                    4.609n ± 1%     5.961n ± 0%    +29.34% (p=0.000 n=10)
LastIndexAnyUTF8/1:8-8                                    4.601n ± 0%     5.966n ± 0%    +29.68% (p=0.000 n=10)
LastIndexAnyUTF8/1:16-8                                   4.614n ± 0%     6.154n ± 0%    +33.36% (p=0.000 n=10)
LastIndexAnyUTF8/1:32-8                                   5.095n ± 0%     6.683n ± 0%    +31.19% (p=0.000 n=10)
LastIndexAnyUTF8/1:64-8                                   5.341n ± 0%     7.239n ± 0%    +35.55% (p=0.000 n=10)
LastIndexAnyUTF8/16:1-8                                   29.88n ± 1%     31.08n ± 0%     +4.02% (p=0.000 n=10)
LastIndexAnyUTF8/16:2-8                                   82.96n ± 0%    108.85n ± 0%    +31.21% (p=0.000 n=10)
LastIndexAnyUTF8/16:4-8                                   82.83n ± 0%    108.95n ± 1%    +31.53% (p=0.000 n=10)
LastIndexAnyUTF8/16:8-8                                   82.73n ± 0%    108.80n ± 0%    +31.51% (p=0.000 n=10)
LastIndexAnyUTF8/16:16-8                                  81.37n ± 0%    110.70n ± 0%    +36.05% (p=0.000 n=10)
LastIndexAnyUTF8/16:32-8                                  87.32n ± 1%    117.10n ± 0%    +34.11% (p=0.000 n=10)
LastIndexAnyUTF8/16:64-8                                  93.52n ± 0%    127.30n ± 1%    +36.13% (p=0.000 n=10)
LastIndexAnyUTF8/256:1-8                                  439.4n ± 0%     448.3n ± 0%     +2.01% (p=0.000 n=10)
LastIndexAnyUTF8/256:2-8                                  1.162µ ± 1%     1.532µ ± 1%    +31.90% (p=0.000 n=10)
LastIndexAnyUTF8/256:4-8                                  1.162µ ± 0%     1.533µ ± 0%    +31.88% (p=0.000 n=10)
LastIndexAnyUTF8/256:8-8                                  1.161µ ± 1%     1.530µ ± 0%    +31.83% (p=0.000 n=10)
LastIndexAnyUTF8/256:16-8                                 1.165µ ± 1%     1.594µ ± 0%    +36.78% (p=0.000 n=10)
LastIndexAnyUTF8/256:32-8                                 1.269µ ± 0%     1.693µ ± 0%    +33.41% (p=0.000 n=10)
LastIndexAnyUTF8/256:64-8                                 1.361µ ± 0%     1.875µ ± 0%    +37.78% (p=0.000 n=10)
IndexPeriodic/IndexPeriodic2-8                            4.988µ ± 0%    55.093µ ± 0%  +1004.62% (p=0.000 n=10)
IndexPeriodic/IndexPeriodic4-8                            4.995µ ± 1%    55.203µ ± 0%  +1005.28% (p=0.000 n=10)
