goos: linux
goarch: amd64
pkg: github.com/charlievieth/strcase/internal/benchtest
cpu: Intel(R) Core(TM) i9-9900K CPU @ 3.60GHz
                                │ ./stdlib.10.1706904187.07e88bec.txt │  ./strcase.10.1706904187.07e88bec.txt   │
                                │               sec/op                │    sec/op      vs base                  │
IndexAnyUTF8/16:4-8                                       67.11n ± 0%     35.81n ± 0%    -46.63% (p=0.000 n=10)
IndexAnyUTF8/16:8-8                                       67.08n ± 0%     95.58n ± 0%    +42.49% (p=0.000 n=10)
IndexAnyUTF8/16:16-8                                      66.12n ± 0%    100.15n ± 1%    +51.48% (p=0.000 n=10)
IndexAnyUTF8/16:32-8                                      72.77n ± 0%    104.65n ± 0%    +43.80% (p=0.000 n=10)
IndexAnyUTF8/16:64-8                                      76.63n ± 0%    110.40n ± 1%    +44.07% (p=0.000 n=10)
IndexAnyUTF8/256:1-8                                      167.5n ± 0%     167.4n ± 0%          ~ (p=0.863 n=10)
IndexAnyUTF8/256:2-8                                      920.1n ± 1%     348.4n ± 0%    -62.13% (p=0.000 n=10)
IndexAnyUTF8/256:4-8                                      922.4n ± 0%     193.6n ± 0%    -79.01% (p=0.000 n=10)
IndexAnyUTF8/256:8-8                                      919.9n ± 1%     389.1n ± 1%    -57.70% (p=0.000 n=10)
IndexAnyUTF8/256:16-8                                     927.8n ± 0%     125.8n ± 0%    -86.44% (p=0.000 n=10)
IndexAnyUTF8/256:32-8                                    1035.5n ± 0%     644.1n ± 0%    -37.80% (p=0.000 n=10)
IndexAnyUTF8/256:64-8                                    1095.0n ± 0%     766.1n ± 0%    -30.04% (p=0.000 n=10)
LastIndexAnyASCII/1:1-8                                   5.125n ± 1%     6.747n ± 1%    +31.66% (p=0.000 n=10)
LastIndexAnyASCII/1:2-8                                   5.108n ± 1%     6.716n ± 1%    +31.48% (p=0.000 n=10)
LastIndexAnyASCII/1:4-8                                   5.126n ± 1%     6.737n ± 1%    +31.43% (p=0.000 n=10)
LastIndexAnyASCII/1:8-8                                   5.125n ± 0%     6.715n ± 0%    +31.01% (p=0.000 n=10)
LastIndexAnyASCII/1:16-8                                  4.734n ± 0%     6.459n ± 0%    +36.45% (p=0.000 n=10)
LastIndexAnyASCII/1:32-8                                  5.114n ± 1%     6.918n ± 0%    +35.29% (p=0.000 n=10)
LastIndexAnyASCII/1:64-8                                  5.256n ± 1%     7.292n ± 0%    +38.72% (p=0.000 n=10)
LastIndexAnyASCII/16:1-8                                  13.68n ± 0%     16.57n ± 0%    +21.16% (p=0.000 n=10)
LastIndexAnyASCII/16:2-8                                  14.10n ± 0%     16.79n ± 0%    +19.12% (p=0.000 n=10)
LastIndexAnyASCII/16:4-8                                  15.92n ± 0%     17.84n ± 0%    +12.09% (p=0.000 n=10)
LastIndexAnyASCII/16:8-8                                  20.08n ± 0%     21.42n ± 0%     +6.65% (p=0.000 n=10)
LastIndexAnyASCII/16:16-8                                 26.29n ± 0%     31.20n ± 0%    +18.67% (p=0.000 n=10)
LastIndexAnyASCII/16:32-8                                 44.71n ± 0%     54.58n ± 0%    +22.06% (p=0.000 n=10)
LastIndexAnyASCII/16:64-8                                 71.39n ± 0%     91.95n ± 0%    +28.79% (p=0.000 n=10)
LastIndexAnyASCII/256:1-8                                 129.2n ± 0%     131.1n ± 0%     +1.47% (p=0.000 n=10)
LastIndexAnyASCII/256:2-8                                 130.1n ± 0%     131.5n ± 0%     +1.08% (p=0.000 n=10)
LastIndexAnyASCII/256:4-8                                 132.0n ± 0%     133.5n ± 0%     +1.17% (p=0.000 n=10)
LastIndexAnyASCII/256:8-8                                 136.0n ± 0%     138.2n ± 0%     +1.62% (p=0.000 n=10)
LastIndexAnyASCII/256:16-8                                141.3n ± 0%     148.5n ± 0%     +5.17% (p=0.000 n=10)
LastIndexAnyASCII/256:32-8                                158.1n ± 0%     176.1n ± 0%    +11.45% (p=0.000 n=10)
LastIndexAnyASCII/256:64-8                                182.6n ± 0%     213.9n ± 1%    +17.14% (p=0.000 n=10)
LastIndexAnyUTF8/1:1-8                                    5.142n ± 1%     6.754n ± 1%    +31.35% (p=0.000 n=10)
LastIndexAnyUTF8/1:2-8                                    5.154n ± 1%     6.753n ± 0%    +31.02% (p=0.000 n=10)
LastIndexAnyUTF8/1:4-8                                    5.162n ± 1%     6.773n ± 1%    +31.22% (p=0.000 n=10)
LastIndexAnyUTF8/1:8-8                                    5.144n ± 0%     6.771n ± 0%    +31.65% (p=0.000 n=10)
LastIndexAnyUTF8/1:16-8                                   4.604n ± 0%     6.399n ± 1%    +38.99% (p=0.000 n=10)
LastIndexAnyUTF8/1:32-8                                   5.064n ± 0%     6.876n ± 0%    +35.77% (p=0.000 n=10)
LastIndexAnyUTF8/1:64-8                                   5.353n ± 1%     7.306n ± 0%    +36.51% (p=0.000 n=10)
LastIndexAnyUTF8/16:1-8                                   42.60n ± 1%     32.59n ± 1%    -23.49% (p=0.000 n=10)
LastIndexAnyUTF8/16:2-8                                   89.92n ± 1%    111.90n ± 1%    +24.44% (p=0.000 n=10)
LastIndexAnyUTF8/16:4-8                                   89.75n ± 1%    111.75n ± 0%    +24.51% (p=0.000 n=10)
LastIndexAnyUTF8/16:8-8                                   89.35n ± 0%    111.85n ± 0%    +25.18% (p=0.000 n=10)
LastIndexAnyUTF8/16:16-8                                  82.59n ± 1%    114.40n ± 0%    +38.51% (p=0.000 n=10)
LastIndexAnyUTF8/16:32-8                                  87.60n ± 0%    120.70n ± 0%    +37.79% (p=0.000 n=10)
LastIndexAnyUTF8/16:64-8                                  93.39n ± 0%    128.75n ± 0%    +37.87% (p=0.000 n=10)
LastIndexAnyUTF8/256:1-8                                  450.8n ± 0%     457.8n ± 1%     +1.58% (p=0.000 n=10)
LastIndexAnyUTF8/256:2-8                                  1.206µ ± 1%     1.619µ ± 0%    +34.20% (p=0.000 n=10)
LastIndexAnyUTF8/256:4-8                                  1.201µ ± 2%     1.618µ ± 0%    +34.68% (p=0.000 n=10)
LastIndexAnyUTF8/256:8-8                                  1.205µ ± 0%     1.619µ ± 0%    +34.36% (p=0.000 n=10)
LastIndexAnyUTF8/256:16-8                                 1.163µ ± 0%     1.670µ ± 0%    +43.55% (p=0.000 n=10)
LastIndexAnyUTF8/256:32-8                                 1.270µ ± 0%     1.754µ ± 1%    +38.07% (p=0.000 n=10)
LastIndexAnyUTF8/256:64-8                                 1.357µ ± 0%     1.885µ ± 0%    +38.91% (p=0.000 n=10)
IndexPeriodic/IndexPeriodic2-8                            4.990µ ± 0%    55.060µ ± 0%  +1003.40% (p=0.000 n=10)
IndexPeriodic/IndexPeriodic4-8                            4.992µ ± 0%    55.068µ ± 0%  +1003.23% (p=0.000 n=10)
