goos: linux
goarch: amd64
pkg: github.com/charlievieth/strcase/internal/benchtest
cpu: Intel(R) Xeon(R) Platinum 8488C
BenchmarkIndexHard1-4                	     302	   3954090 ns/op	 1048577 B/op	       1 allocs/op
BenchmarkIndexHard1-4                	     302	   3975775 ns/op	 1048578 B/op	       1 allocs/op
BenchmarkIndexHard1-4                	     292	   4021653 ns/op	 1048577 B/op	       1 allocs/op
BenchmarkIndexHard1-4                	     298	   3968330 ns/op	 1048576 B/op	       1 allocs/op
BenchmarkIndexHard2-4                	     303	   3939174 ns/op	 1048585 B/op	       2 allocs/op
BenchmarkIndexHard2-4                	     297	   3979150 ns/op	 1048586 B/op	       2 allocs/op
BenchmarkIndexHard2-4                	     296	   4033499 ns/op	 1048584 B/op	       2 allocs/op
BenchmarkIndexHard2-4                	     291	   4033194 ns/op	 1048587 B/op	       2 allocs/op
BenchmarkIndexHard2-4                	     296	   4026280 ns/op	 1048585 B/op	       2 allocs/op
BenchmarkIndexHard2-4                	     295	   4079600 ns/op	 1048585 B/op	       2 allocs/op
BenchmarkIndexHard2-4                	     288	   4132697 ns/op	 1048585 B/op	       2 allocs/op
BenchmarkIndexHard2-4                	     286	   4151664 ns/op	 1048587 B/op	       2 allocs/op
BenchmarkIndexHard2-4                	     291	   4123791 ns/op	 1048584 B/op	       2 allocs/op
BenchmarkIndexHard2-4                	     289	   4083353 ns/op	 1048586 B/op	       2 allocs/op
BenchmarkIndexHard3-4                	     268	   4438566 ns/op	 1048600 B/op	       2 allocs/op
BenchmarkIndexHard3-4                	     268	   4398765 ns/op	 1048601 B/op	       2 allocs/op
BenchmarkIndexHard3-4                	     271	   4340766 ns/op	 1048602 B/op	       2 allocs/op
BenchmarkIndexHard3-4                	     277	   4340460 ns/op	 1048601 B/op	       2 allocs/op
BenchmarkIndexHard3-4                	     273	   4301212 ns/op	 1048602 B/op	       2 allocs/op
BenchmarkIndexHard3-4                	     276	   4368096 ns/op	 1048601 B/op	       2 allocs/op
BenchmarkIndexHard3-4                	     278	   4341730 ns/op	 1048601 B/op	       2 allocs/op
BenchmarkIndexHard3-4                	     272	   4400540 ns/op	 1048603 B/op	       2 allocs/op
BenchmarkIndexHard3-4                	     267	   4351182 ns/op	 1048600 B/op	       2 allocs/op
BenchmarkIndexHard3-4                	     271	   4392274 ns/op	 1048601 B/op	       2 allocs/op
BenchmarkIndexHard4-4                	     265	   4525791 ns/op	 1048625 B/op	       2 allocs/op
BenchmarkIndexHard4-4                	     258	   4612640 ns/op	 1048626 B/op	       2 allocs/op
BenchmarkIndexHard4-4                	     258	   4599824 ns/op	 1048625 B/op	       2 allocs/op
BenchmarkIndexHard4-4                	     261	   4463587 ns/op	 1048625 B/op	       2 allocs/op
BenchmarkIndexHard4-4                	     262	   4428201 ns/op	 1048626 B/op	       2 allocs/op
BenchmarkIndexHard4-4                	     272	   4370996 ns/op	 1048624 B/op	       2 allocs/op
BenchmarkIndexHard4-4                	     274	   4411211 ns/op	 1048624 B/op	       2 allocs/op
BenchmarkIndexHard4-4                	     271	   4367542 ns/op	 1048626 B/op	       2 allocs/op
BenchmarkIndexHard4-4                	     276	   4326689 ns/op	 1048625 B/op	       2 allocs/op
BenchmarkIndexHard4-4                	     274	   4358411 ns/op	 1048626 B/op	       2 allocs/op
BenchmarkLastIndexHard1-4            	     218	   5536335 ns/op	 1048577 B/op	       1 allocs/op
BenchmarkLastIndexHard1-4            	     216	   5508398 ns/op	 1048576 B/op	       1 allocs/op
